#Parameters = {C_1=25.815589753809; C_2=96.34509258857; Conductivity_MoGr=1000000; Ip=99.743779456351; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; d=-346.34509258857; half_gap_x=4.1844102461909; half_gap_y=30; half_gap_z=125; offset=1.6737640984764; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.815589753809; translate_z=-221.34509258857; wakelength=20000}
#"s / mm"	"Z [Real Part / V/pC]"
#-------------------------------
107.27321578662	-0.0072337899725781
107.51995562372	-0.0049566426122309
107.76669546082	-0.0024369159957367
108.01343529792	0.00027917591942278
108.26017513503	0.0031418620550704
108.50691497213	0.0060985118085209
108.75365480923	0.0090941797960178
109.00039464634	0.012072420589715
109.24713448344	0.014976694063235
109.49387432054	0.017752008955352
109.74061415764	0.020346142859752
109.98735399475	0.022710204532568
110.23409383185	0.024798943428446
110.48083366895	0.026571475772241
110.72757350605	0.027992519153983
110.97431334316	0.029033508243357
111.22105318026	0.029673023168312
111.46779301736	0.029896756642254
111.71453285446	0.029697595195694
111.96127269157	0.029076104941611
112.20801252867	0.028040913958458
112.45475236577	0.026608448852366
112.70149220288	0.024802088507077
112.94823203998	0.022651428510038
113.19497187708	0.020192134238995
113.44171171418	0.017465980830045
113.68845155129	0.014520323067879
113.93519138839	0.011406775254694
114.18193122549	0.0081796303897293
114.42867106259	0.0048947648373195
114.67541089970	0.0016091149503016
114.92215073680	-0.0016198139381931
115.16889057390	-0.0047348627995940
115.41563041101	-0.0076805373045800
115.66237024811	-0.010404307387281
115.90911008521	-0.012857619275889
116.15584992231	-0.014996681244794
116.40258975942	-0.016783146186823
116.64932959652	-0.018184600439192
116.89606943362	-0.019174908668817
117.14280927072	-0.019734587219679
117.38954910783	-0.019851412746970
117.63628894493	-0.019521120504559
117.88302878203	-0.018747676310020
118.12976861914	-0.017542822920065
118.37650845624	-0.015925193841009
118.62324829334	-0.013919734172158
118.86998813044	-0.011557720824653
119.11672796755	-0.0088769411060989
119.36346780465	-0.0059213324026778
119.61020764175	-0.0027398110520401
119.85694747885	0.00061519377114788
120.10368731596	0.0040888412178026
120.35042715306	0.0076245090044578
120.59716699016	0.011164347032774
120.84390682726	0.014650142232647
121.09064666437	0.018024447086990
121.33738650147	0.021231675421458
121.58412633857	0.024219013300469
121.83086617568	0.026937278694907
122.07760601278	0.029341816897515
122.32434584988	0.031393289691306
122.57108568698	0.033058217416113
122.81782552409	0.034309308855003
123.06456536119	0.035125865766331
123.31130519829	0.035494366900220
123.55804503539	0.035408952950203
123.80478487250	0.034871422418282
124.05152470960	0.033890764225343
124.29826454670	0.032482658215856
124.54500438381	0.030669361587068
124.79174422091	0.028479840710823
125.03848405801	0.025949635132591
125.28522389511	0.023120072058951
125.53196373222	0.020037019311722
125.77870356932	0.016749736433216
126.02544340642	0.013310193912684
126.27218324352	0.0097727044952959
126.51892308063	0.0061933996519714
126.76566291773	0.0026292466941898
127.01240275483	-0.00086325107532570
127.25914259194	-0.0042293142176758
127.50588242904	-0.0074168398459397
127.75262226614	-0.010377047927638
127.99936210324	-0.013064978790493
128.24610194035	-0.015440043113673
128.49284177745	-0.017466686875534
128.73958161455	-0.019115122962522
128.98632145165	-0.020362005954039
129.23306128876	-0.021190916848133
129.47980112586	-0.021592584759854
129.72654096296	-0.021564858262455
129.97328080006	-0.021112507973882
130.22002063717	-0.020246997567582
130.46676047427	-0.018986297215339
130.71350031137	-0.017354739475241
130.96024014848	-0.015382827029234
131.20697998558	-0.013106869542860
131.45371982268	-0.010568326530900
131.70045965978	-0.0078128769495516
131.94719949689	-0.0048893687062971
132.19393933399	-0.0018489242009096
132.44067917109	0.0012556714527896
132.68741900819	0.0043704703169520
132.93415884530	0.0074410136424642
133.18089868240	0.010413366367003
133.42763851950	0.013235368185780
133.67437835661	0.015857741029884
133.92111819371	0.018234789005797
134.16785803081	0.020324746425835
134.41459786791	0.022090155171453
134.66133770502	0.023498505634228
134.90807754212	0.024523076130766
135.15481737922	0.025143630225411
135.40155721632	0.025346671850645
135.64829705343	0.025125374942721
135.89503689053	0.024479488689611
136.14177672763	0.023415416937325
136.38851656474	0.021946316628944
136.63525640184	0.020091962019373
136.88199623894	0.017878260833269
137.12873607604	0.015336650540676
137.37547591315	0.012503646967619
137.62221575025	0.0094205146743159
137.86895558735	0.0061327940763388
138.11569542445	0.0026894694621834
138.36243526156	-0.00085812915695692
138.60917509866	-0.0044573287326589
138.85591493576	-0.0080548266777312
139.10265477286	-0.011597207845179
139.34939460997	-0.015031596225136
139.59613444707	-0.018306551295965
139.84287428417	-0.021373073231601
140.08961412128	-0.024185522437180
140.33635395838	-0.026702324576269
140.58309379548	-0.028886590299658
140.82983363258	-0.030706572340576
141.07657346969	-0.032136036677013
141.32331330679	-0.033154504768229
141.57005314389	-0.033747592756773
141.81679298099	-0.033907486569690
142.06353281810	-0.033633378663440
142.31027265520	-0.032931493110044
142.55701249230	-0.031814595373452
142.80375232941	-0.030301355820389
143.05049216651	-0.028416018749997
143.29723200361	-0.026188497488864
143.54397184071	-0.023654391339683
143.79071167782	-0.020854431176010
144.03745151492	-0.017833351525644
144.28419135202	-0.014638737165657
144.53093118912	-0.011320338480536
144.77767102623	-0.0079297720984695
145.02441086333	-0.0045200900932806
145.27115070043	-0.0011449030532170
145.51789053754	0.0021428151745256
145.76463037464	0.0052917672023142
146.01137021174	0.0082530209141287
146.25811004884	0.010980524528439
146.50484988595	0.013431705438720
146.75158972305	0.015568182378162
146.99832956015	0.017356427793971
147.24506939725	0.018768286832347
147.49180923436	0.019781402451749
147.73854907146	0.020379573628913
147.98528890856	0.020552971160950
148.23202874567	0.020298164634644
148.47876858277	0.019618078924270
