#Parameters = {C_1=25.412767459909; C_2=94.841739321315; Conductivity=10000000; Conductivity_Mo=17900000; Conductivity_MoGr=1000000; Ip=98.18739362802; Pipe_lenght=40; Pipe_r=30; beta=1; cells_wave=20; conductivity_copper=59500000; d=-394.84173932132; half_gap_x=4.5872325400905; half_gap_y=30; half_gap_z=150; mu_copper=0.999994; offset=1.8348930160362; offset_x=1; offset_y=5; sigma_z=5; teta=15; thcoll=25.412767459909; translate_z=-244.84173932132; wakelength=20000}
#"s / mm"	"X [Real Part / V/pC]"
#-------------------------------
68.409974129646	-0.070849000478055
68.637284107767	-0.071705580224409
68.864594085889	-0.072550672192607
69.091904064011	-0.073384588286303
69.319214042132	-0.074207649931942
69.546524020254	-0.075020013309552
69.773833998375	-0.075821646638702
70.001143976497	-0.076612508959932
70.228453954619	-0.077392726588129
70.455763932740	-0.078162553888147
70.683073910862	-0.078922159658793
70.910383888984	-0.079671487172103
71.137693867105	-0.080410338595700
71.365003845227	-0.081138564961319
71.592313823348	-0.081856132519188
71.819623801470	-0.082563006387731
72.046933779592	-0.083259012629070
72.274243757713	-0.083943840430005
72.501553735835	-0.084617156815270
72.728863713957	-0.085278681619624
72.956173692078	-0.085928151615223
73.183483670200	-0.086565250654243
73.410793648321	-0.087189597083347
73.638103626443	-0.087800772857575
73.865413604565	-0.088398320524476
74.092723582686	-0.088981705552342
74.320033560808	-0.089550319066886
74.547343538930	-0.090103549334803
74.774653517051	-0.090640841063353
75.001963495173	-0.091161653731253
75.229273473294	-0.091665360560136
75.456583451416	-0.092151222403928
75.683893429538	-0.092618484991995
75.911203407659	-0.093066481396811
76.138513385781	-0.093494598893501
76.365823363903	-0.093902139292916
76.593133342024	-0.094288250832587
76.820443320146	-0.094652032708559
77.047753298267	-0.094992697026853
77.275063276389	-0.095309595437157
77.502373254511	-0.095602082819528
77.729683232632	-0.095869392780863
77.956993210754	-0.096110678525271
78.184303188876	-0.096325158397542
78.411613166997	-0.096512177976068
78.638923145119	-0.096671121515879
78.866233123240	-0.096801308348101
79.093543101362	-0.096902024109973
79.320853079484	-0.096972646608721
79.548163057605	-0.097012691824323
79.775473035727	-0.097021712829353
80.002783013849	-0.096999188011615
80.230092991970	-0.096944561157142
80.457402970092	-0.096857398751528
80.684712948213	-0.096737466925743
80.912022926335	-0.096584623381315
81.139332904457	-0.096398655021775
81.366642882578	-0.096179267383681
81.593952860700	-0.095926243281046
81.821262838822	-0.095639579052546
82.048572816943	-0.095319440939529
82.275882795065	-0.094966011829164
82.503192773186	-0.094579424515915
82.730502751308	-0.094159848368831
82.957812729430	-0.093707594291137
83.185122707551	-0.093223093846582
83.412432685673	-0.092706790251258
83.639742663795	-0.092159100578603
83.867052641916	-0.091580506621466
84.094362620038	-0.090971652310880
84.321672598159	-0.090333314636672
84.548982576281	-0.089666285926043
84.776292554403	-0.088971324226113
85.003602532524	-0.088249230565046
85.230912510646	-0.087500933217542
85.458222488768	-0.086727447040291
85.685532466889	-0.085929751230754
85.912842445011	-0.085108751793607
86.140152423132	-0.084265391209834
86.367462401254	-0.083400768914083
86.594772379376	-0.082516107149771
86.822082357497	-0.081612586581169
87.049392335619	-0.080691243876740
87.276702313741	-0.079753051097596
87.504012291862	-0.078799073599923
87.731322269984	-0.077830512286820
87.958632248105	-0.076848585139062
88.185942226227	-0.075854394899819
88.413252204349	-0.074848929398074
88.640562182470	-0.073833165470045
88.867872160592	-0.072808132721623
89.095182138714	-0.071774869339324
89.322492116835	-0.070734346485707
89.549802094957	-0.069687456324759
89.777112073078	-0.068635050167264
90.004422051200	-0.067577950223646
90.231732029322	-0.066516920540629
90.459042007443	-0.065452660995040
90.686351985565	-0.064385852799724
90.913661963687	-0.063317185238443
91.140971941808	-0.062247294790535
91.368281919930	-0.061176669718463
91.595591898051	-0.060105649883074
91.822901876173	-0.059034551763374
92.050211854295	-0.057963782434766
92.277521832416	-0.056893798319929
92.504831810538	-0.055824948516846
92.732141788660	-0.054757389522286
92.959451766781	-0.053691170952992
93.186761744903	-0.052626376218626
93.414071723024	-0.051563137806442
93.641381701146	-0.050501519431873
93.868691679268	-0.049441438617798
94.096001657389	-0.048382751177702
94.323311635511	-0.047325396499318
94.550621613633	-0.046269409215212
94.777931591754	-0.045214768813908
95.005241569876	-0.044161270653277
95.232551547997	-0.043108582778159
95.459861526119	-0.042056418996451
95.687171504241	-0.041004615550506
95.914481482362	-0.039953030128681
96.141791460484	-0.038901412498522
96.369101438606	-0.037849423671035
96.596411416727	-0.036796774097733
96.823721394849	-0.035743290228143
97.051031372970	-0.034688814343316
97.278341351092	-0.033633063826024
97.505651329214	-0.032575629553854
97.732961307335	-0.031516116317353
97.960271285457	-0.030454257453671
98.187581263578	-0.029389886030611
98.414891241700	-0.028322830487935
98.642201219822	-0.027252872463608
98.869511197943	-0.026179784349649
99.096821176065	-0.025103346202230
99.324131154187	-0.024023295983630
99.551441132308	-0.022939303162415
99.778751110430	-0.021851054157829
100.00606108855	-0.020758379037359
100.23337106667	-0.019661254182611
